Date,PCH,1D_PCH
06/01/1977,-5.00000,4.38596
06/02/1977,4.38596,-1.68067
06/03/1977,-1.68067,1.70940
06/06/1977,1.70940,0.00000
06/07/1977,0.00000,1.68067
06/08/1977,1.68067,-1.65289
06/09/1977,-1.65289,-3.36134
06/10/1977,-3.36134,-0.86957
06/13/1977,-0.86957,0.00000
06/14/1977,0.00000,-1.75439
06/15/1977,-1.75439,0.00000
06/16/1977,0.00000,1.78571
06/17/1977,1.78571,1.75439
06/20/1977,1.75439,-1.72414
06/21/1977,-1.72414,-0.87719
06/22/1977,-0.87719,0.88496
06/23/1977,0.88496,-3.50877
06/24/1977,-3.50877,3.63636
06/27/1977,3.63636,-3.50877
06/28/1977,-3.50877,3.63636
06/29/1977,3.63636,-1.75439
06/30/1977,-1.75439,8.92857
07/01/1977,8.92857,.
07/04/1977,.,.
07/05/1977,.,0.00000
07/06/1977,0.00000,-7.31707
07/07/1977,-7.31707,-1.75439
07/08/1977,-1.75439,-0.89286
07/11/1977,-0.89286,-0.90090
07/12/1977,-0.90090,-0.90909
07/13/1977,-0.90909,.
07/14/1977,.,.
07/15/1977,.,-0.95238
07/18/1977,-0.95238,-1.92308
07/19/1977,-1.92308,-4.90196
07/20/1977,-4.90196,-3.09278
07/21/1977,-3.09278,2.12766
07/22/1977,2.12766,3.12500
07/25/1977,3.12500,1.01010
07/26/1977,1.01010,-1.00000
07/27/1977,-1.00000,-6.06061
07/28/1977,-6.06061,-1.07527
07/29/1977,-1.07527,2.17391
08/01/1977,2.17391,-4.25532
08/02/1977,-4.25532,-1.11111
08/03/1977,-1.11111,2.24719
08/04/1977,2.24719,-2.19780
08/05/1977,-2.19780,0.00000
08/08/1977,0.00000,-2.24719
08/09/1977,-2.24719,0.00000
08/10/1977,0.00000,-4.59770
08/11/1977,-4.59770,-3.61446
08/12/1977,-3.61446,-3.75000
08/15/1977,-3.75000,-3.89610
08/16/1977,-3.89610,-2.70270
08/17/1977,-2.70270,2.77778
08/18/1977,2.77778,-1.35135
08/19/1977,-1.35135,0.00000
08/22/1977,0.00000,-1.36986
08/23/1977,-1.36986,-5.55556
08/24/1977,-5.55556,2.94118
08/25/1977,2.94118,-7.14286
08/26/1977,-7.14286,6.15385
08/29/1977,6.15385,2.89855
08/30/1977,2.89855,-2.81690
08/31/1977,-2.81690,5.79710
09/01/1977,5.79710,-2.73973
09/02/1977,-2.73973,.
09/05/1977,.,.
09/06/1977,.,0.00000
09/07/1977,0.00000,2.77778
09/08/1977,2.77778,-18.91892
09/09/1977,-18.91892,0.00000
09/12/1977,0.00000,3.33333
09/13/1977,3.33333,-3.22581
09/14/1977,-3.22581,5.00000
09/15/1977,5.00000,1.58730
09/16/1977,1.58730,3.12500
09/19/1977,3.12500,0.00000
09/20/1977,0.00000,-1.51515
09/21/1977,-1.51515,-16.92308
09/22/1977,-16.92308,-1.85185
09/23/1977,-1.85185,0.00000
09/26/1977,0.00000,9.43396
09/27/1977,9.43396,-1.72414
09/28/1977,-1.72414,5.26316
09/29/1977,5.26316,-1.66667
09/30/1977,-1.66667,-3.38983
10/03/1977,-3.38983,-1.75439
10/04/1977,-1.75439,-3.57143
10/05/1977,-3.57143,1.85185
10/06/1977,1.85185,-5.45455
10/07/1977,-5.45455,.
10/10/1977,.,.
10/11/1977,.,-16.66667
10/12/1977,-16.66667,-12.50000
10/13/1977,-12.50000,5.71429
10/14/1977,5.71429,-10.81081
10/17/1977,-10.81081,-3.03030
10/18/1977,-3.03030,0.00000
10/19/1977,0.00000,6.25000
10/20/1977,6.25000,-2.94118
10/21/1977,-2.94118,9.09091
10/24/1977,9.09091,5.55556
10/25/1977,5.55556,5.26316
10/26/1977,5.26316,5.00000
10/27/1977,5.00000,0.00000
10/28/1977,0.00000,-7.14286
10/31/1977,-7.14286,2.56410
11/01/1977,2.56410,12.50000
11/02/1977,12.50000,2.22222
11/03/1977,2.22222,-4.34783
11/04/1977,-4.34783,2.27273
11/07/1977,2.27273,.
11/08/1977,.,.
11/09/1977,.,0.00000
11/10/1977,0.00000,.
11/11/1977,.,.
11/14/1977,.,-2.17391
11/15/1977,-2.17391,-4.44444
11/16/1977,-4.44444,2.32558
11/17/1977,2.32558,-2.27273
11/18/1977,-2.27273,2.32558
11/21/1977,2.32558,-9.09091
11/22/1977,-9.09091,2.50000
11/23/1977,2.50000,.
11/24/1977,.,.
11/25/1977,.,0.00000
11/28/1977,0.00000,4.76190
11/29/1977,4.76190,0.00000
11/30/1977,0.00000,2.27273
12/01/1977,2.27273,-2.22222
12/02/1977,-2.22222,2.27273
12/05/1977,2.27273,6.66667
12/06/1977,6.66667,-2.08333
12/07/1977,-2.08333,2.12766
12/08/1977,2.12766,0.00000
12/09/1977,0.00000,0.00000
12/12/1977,0.00000,2.08333
12/13/1977,2.08333,2.04082
12/14/1977,2.04082,6.00000
12/15/1977,6.00000,1.88679
12/16/1977,1.88679,3.70370
12/19/1977,3.70370,7.14286
12/20/1977,7.14286,-6.66667
12/21/1977,-6.66667,-12.50000
12/22/1977,-12.50000,4.08163
12/23/1977,4.08163,.
12/26/1977,.,.
12/27/1977,.,1.92308
12/28/1977,1.92308,5.66038
12/29/1977,5.66038,0.00000
12/30/1977,0.00000,.
01/02/1978,.,.
01/03/1978,.,-1.69492
01/04/1978,-1.69492,-1.72414
01/05/1978,-1.72414,0.00000
01/06/1978,0.00000,-24.56140
01/09/1978,-24.56140,2.32558
01/10/1978,2.32558,-2.27273
01/11/1978,-2.27273,-2.32558
01/12/1978,-2.32558,-2.38095
01/13/1978,-2.38095,4.87805
01/16/1978,4.87805,2.32558
01/17/1978,2.32558,0.00000
01/18/1978,0.00000,-4.54545
01/19/1978,-4.54545,0.00000
01/20/1978,0.00000,4.76190
01/23/1978,4.76190,4.54545
01/24/1978,4.54545,2.17391
01/25/1978,2.17391,0.00000
01/26/1978,0.00000,4.25532
01/27/1978,4.25532,0.00000
01/30/1978,0.00000,-4.08163
01/31/1978,-4.08163,4.25532
02/01/1978,4.25532,-2.04082
02/02/1978,-2.04082,2.08333
02/03/1978,2.08333,0.00000
02/06/1978,0.00000,-4.08163
02/07/1978,-4.08163,2.12766
02/08/1978,2.12766,2.08333
02/09/1978,2.08333,0.00000
02/10/1978,0.00000,.
02/13/1978,.,.
02/14/1978,.,2.08333
02/15/1978,2.08333,-6.12245
02/16/1978,-6.12245,0.00000
02/17/1978,0.00000,.
02/20/1978,.,.
02/21/1978,.,0.00000
02/22/1978,0.00000,-4.44444
02/23/1978,-4.44444,0.00000
02/24/1978,0.00000,0.00000
02/27/1978,0.00000,9.30233
02/28/1978,9.30233,-2.12766
03/01/1978,-2.12766,-2.17391
03/02/1978,-2.17391,0.00000
03/03/1978,0.00000,4.44444
03/06/1978,4.44444,0.00000
03/07/1978,0.00000,4.25532
